,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
0,Jahanpanah,Agra,Agra Cantt,78.01154444,27.16166111,"North Indian, Mughlai",850.0,No,No,No,3,3.9,Yellow,Good,140
2,Time2Eat - Mama Chicken,Agra,Agra Cantt,78.01160797,27.16083249,North Indian,500.0,No,No,No,2,3.6,Yellow,Good,94
3,Chokho Jeeman Marwari Jain Bhojanalya,Agra,Civil Lines,77.99809167,27.19592778,Rajasthani,400.0,No,No,No,2,4.0,Green,Very Good,87
4,Pinch Of Spice,Agra,Civil Lines,78.00755278,27.201725,"North Indian, Chinese, Mughlai",1000.0,No,No,No,3,4.2,Green,Very Good,177
6,Peshawri - ITC Mughal,Agra,"ITC Mughal, Tajganj",78.044095,27.160934,"North Indian, Mughlai",2500.0,No,No,No,4,4.3,Green,Very Good,133
7,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Tajganj",78.044095,27.160934,Mughlai,2500.0,No,No,No,4,4.0,Green,Very Good,41
9,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Tajganj",78.057044,27.163303,"North Indian, Mughlai",3600.0,No,No,No,4,3.8,Yellow,Good,46
11,Dasaprakash Restaurant,Agra,Rakabganj,78.01505278,27.16510833,"South Indian, Desserts",550.0,No,No,No,2,4.1,Green,Very Good,121
12,The Charcoal Chimney,Agra,Tajganj,78.04299,27.159795,"North Indian, Chinese, Continental, Mughlai",1100.0,No,No,No,3,3.4,Orange,Average,70
16,Pind Balluchi,Agra,Tajganj,78.04725,27.15777222,"North Indian, Mughlai",900.0,No,No,No,3,3.7,Yellow,Good,175
17,Pizza Hut,Agra,Tajganj,78.03471389,27.16169444,"Italian, Pizza",700.0,No,No,No,2,4.4,Green,Very Good,134
19,Thaaliwala,Agra,Tajganj,78.045359,27.158822,"North Indian, Fast Food",700.0,No,No,No,2,4.1,Green,Very Good,168
20,650 - The Global Kitchen,Ahmedabad,Ambavadi,72.5375741,23.01045111,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900.0,No,No,No,3,4.2,Green,Very Good,1582
21,Patang - The Revolving Restaurant,Ahmedabad,Ashram Road,72.572009,23.0261651,"Continental, Chinese, North Indian",1800.0,No,No,No,4,3.7,Yellow,Good,1315
22,Huber & Holly,Ahmedabad,Bodakdev,72.5123947,23.0383109,"Ice Cream, Desserts, Continental",300.0,No,Yes,No,1,4.5,Dark Green,Excellent,217
23,@Mango,Ahmedabad,Bodakdev,72.5017644,23.0401633,"North Indian, Continental, Mexican, Italian",800.0,No,No,No,3,4.1,Green,Very Good,769
24,Fozzie's Pizzaiolo,Ahmedabad,Bodakdev,72.5098065,23.0330688,"Pizza, Italian, Beverages, Desserts",900.0,No,Yes,No,3,4.3,Green,Very Good,731
25,La Pino'z Pizza,Ahmedabad,Bodakdev,72.5124872,23.0382314,"Pizza, Italian",500.0,No,Yes,No,2,4.4,Green,Very Good,113
26,Mocha,Ahmedabad,Bodakdev,72.511307,23.0318508,"Cafe, Continental, Desserts",1000.0,No,Yes,No,3,4.4,Green,Very Good,944
27,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,C G Road,72.5570374,23.0290619,"North Indian, Cafe, Italian, Mexican, Continental",1000.0,No,Yes,No,3,3.8,Yellow,Good,63
28,MoMo CafÌ© - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Satellite",72.5115815,23.027929,"North Indian, South Indian, Asian, Continental",1400.0,No,No,No,3,3.6,Yellow,Good,375
29,Cryo Lab,Ahmedabad,Ellis Bridge,72.55998429,23.02874796,"Desserts, Ice Cream",350.0,No,No,No,2,4.6,Dark Green,Excellent,166
30,Swati Snacks,Ahmedabad,Ellis Bridge,72.55903311,23.02443364,"Fast Food, Street Food, South Indian",450.0,No,No,No,2,4.4,Green,Very Good,697
31,Brick Kitchen,Ahmedabad,Ghatlodia,72.5316389,23.0643038,"North Indian, Chinese, Continental",900.0,No,No,No,3,4.3,Green,Very Good,325
32,Kabir Restaurant,Ahmedabad,Gurukul,72.5239649,23.04850469,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600.0,No,Yes,No,2,3.8,Yellow,Good,432
33,Puffizza,Ahmedabad,Gurukul,72.53774978,23.04619268,"Italian, Fast Food",700.0,No,Yes,No,2,4.3,Green,Very Good,744
34,Cafe Alfresco,Ahmedabad,Navrangpura,72.5498285,23.0437235,"Cafe, Beverages, Desserts, Pizza",700.0,No,Yes,No,2,4.0,Green,Very Good,404
35,The Cafe Baraco,Ahmedabad,Navrangpura,72.5504755,23.0443367,"Cafe, Italian",600.0,No,Yes,No,2,4.4,Green,Very Good,317
36,Nini's Kitchen,Ahmedabad,Prahlad Nagar,72.5072645,23.0117723,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950.0,No,Yes,No,3,4.5,Dark Green,Excellent,1138
37,Yanki Sizzlers,Ahmedabad,Thaltej,72.5181257,23.0534466,"Continental, Italian, Chinese",1200.0,No,No,No,3,4.1,Green,Very Good,1041
38,The Garden Cafe - The Fern,Ahmedabad,"The Fern, Sola",72.5222172,23.0640914,"North Indian, Italian, Asian, South Indian",1200.0,No,No,No,3,4.1,Green,Very Good,192
39,Mazzo,Ahmedabad,Vastrapur,72.5281083,23.0418026,"Cafe, American, Continental, Armenian, Fast Food",550.0,No,Yes,No,2,3.9,Yellow,Good,166
40,Turquoise Villa,Ahmedabad,Vastrapur,72.5434513,23.0285142,Continental,1200.0,No,No,No,3,4.0,Green,Very Good,535
41,Aryan Family's Delight,Allahabad,Civil Lines,81.834502,25.454648,"North Indian, South Indian, Fast Food",500.0,No,No,No,3,3.4,Orange,Average,57
42,Bean Here,Allahabad,Civil Lines,81.83316667,25.45343611,"Cafe, Fast Food",350.0,No,No,No,2,3.3,Orange,Average,76
43,Bikanerwala,Allahabad,Civil Lines,81.832616,25.451517,"North Indian, Street Food, Fast Food",500.0,No,No,No,3,3.2,Orange,Average,51
45,Friends Forever,Allahabad,Civil Lines,81.835585,25.457687,"North Indian, Chinese",600.0,No,No,No,3,3.4,Orange,Average,83
47,KFC,Allahabad,Civil Lines,81.839744,25.449659,"American, Fast Food",500.0,No,No,No,3,3.4,Orange,Average,58
48,McDonald's,Allahabad,Civil Lines,81.834279,25.450329,Fast Food,400.0,No,No,No,2,3.3,Orange,Average,53
52,Tandoor Restaurant,Allahabad,Civil Lines,81.860187,25.443994,"North Indian, Chinese",500.0,No,No,No,3,3.2,Orange,Average,151
54,The Tamarind Tree,Allahabad,Civil Lines,81.834841,25.459775,"South Indian, Chinese",500.0,No,No,No,3,3.4,Orange,Average,106
55,Cafe El Chico,Allahabad,Civil Lines,81.83616667,25.44987222,"Continental, Italian",1000.0,No,No,No,4,3.6,Yellow,Good,59
56,Eat On,Allahabad,Civil Lines,81.834236,25.450377,North Indian,200.0,No,No,No,1,3.7,Yellow,Good,105
57,Hot Stuff,Allahabad,Civil Lines,81.841889,25.45235,"North Indian, Fast Food",500.0,No,No,No,3,3.5,Yellow,Good,105
58,Paradise,Allahabad,Civil Lines,81.83168056,25.45031667,"Desserts, Fast Food",500.0,No,No,No,3,3.6,Yellow,Good,57
59,Sagar Ratna,Allahabad,Tagore Town,81.859682,25.457116,"South Indian, North Indian, Chinese, Continental",400.0,No,No,No,2,3.5,Yellow,Good,134
